location,Grigy,Grigy,Grigy,Grigy,Grigy,Grigy
lat,49.00000,49.00000,49.00000,49.00000,49.00000,49.00000
lon,6.25000,6.25000,6.25000,6.25000,6.25000,6.25000
asl,234.408,234.408,234.408,234.408,234.408,234.408
variable,Temperature,Wind Speed,Wind Direction,Cloud Cover Total,Direct Shortwave Radiation,Diffuse Shortwave Radiation
unit,°C,km/h,°,%,W/m²,W/m²
level,2 m elevation corrected,10 m,10 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Grigy Temperature [2 m elevation corrected],Grigy Wind Speed [10 m],Grigy Wind Direction [10 m],Grigy Cloud Cover Total,Grigy Direct Shortwave Radiation,Grigy Diffuse Shortwave Radiation
20190112T1900,4.511655,25.1614,236.08258,100.0,0.0,0.0
20190112T2000,4.7116547,25.630886,240.55457,100.0,0.0,0.0
20190112T2100,5.091655,23.83624,244.98311,100.0,0.0,0.0
20190112T2200,5.511655,22.768398,251.56506,100.0,0.0,0.0
20190112T2300,5.8516545,21.077686,262.14667,100.0,0.0,0.0
20190113T0000,6.1516547,18.089775,264.28943,100.0,0.0,0.0
20190113T0100,6.3116546,18.0036,258.4654,100.0,0.0,0.0
20190113T0200,6.451655,19.523155,264.70993,100.0,0.0,0.0
20190113T0300,6.4216547,19.110542,266.7603,100.0,0.0,0.0
20190113T0400,6.3816547,17.581125,259.38034,100.0,0.0,0.0
20190113T0500,6.3316545,16.327497,255.96376,100.0,0.0,0.0
20190113T0600,6.321655,15.978484,247.47943,100.0,0.0,0.0
20190113T0700,6.3616548,17.727943,240.83238,100.0,0.0,0.0
20190113T0800,6.3916545,20.456745,241.63095,100.0,0.0,0.0
20190113T0900,6.511655,20.523157,248.38522,100.0,0.0,0.0
20190113T1000,6.8616548,21.068459,253.11322,100.0,0.0,1.0
20190113T1100,7.301655,22.380884,258.87082,100.0,0.0,6.0
20190113T1200,7.6416545,21.129883,256.2005,100.0,0.0,12.0
20190113T1300,7.9816546,24.36591,257.19574,100.0,0.0,14.0
20190113T1400,8.351655,25.984917,259.62415,100.0,0.0,34.0
20190113T1500,8.661654,26.042212,264.44702,100.0,2.0,41.0
20190113T1600,8.8716545,25.099514,261.7537,100.0,0.0,32.0
20190113T1700,8.991654,26.476522,258.23172,100.0,0.0,18.0
20190113T1800,8.961655,27.834309,264.80557,100.0,0.0,3.0
20190113T1900,8.941655,27.729347,268.51215,100.0,0.0,0.0
20190113T2000,8.6216545,28.47643,267.10144,100.0,0.0,0.0
20190113T2100,8.451654,28.47643,267.10144,100.0,0.0,0.0
20190113T2200,8.321654,28.082308,269.26547,100.0,0.0,0.0
20190113T2300,8.441655,27.834309,275.19443,100.0,0.0,0.0
20190114T0000,8.341655,24.627787,285.25513,97.0,0.0,0.0
20190114T0100,8.161654,23.110205,288.1527,100.0,0.0,0.0
20190114T0200,7.7516546,24.633049,296.93954,84.0,0.0,0.0
20190114T0300,7.1516547,22.682856,305.9605,95.0,0.0,0.0
20190114T0400,6.4816546,20.592503,306.46924,82.0,0.0,0.0
20190114T0500,5.8716545,19.576189,302.22876,98.0,0.0,0.0
20190114T0600,5.6416545,19.694992,300.78415,99.0,0.0,0.0
20190114T0700,5.5816545,19.33639,298.951,98.0,0.0,0.0
20190114T0800,5.4816546,17.87718,295.0169,97.0,0.0,0.0
20190114T0900,5.471655,17.873554,288.7999,98.0,0.0,0.0
20190114T1000,5.5216546,20.380579,287.4748,75.0,0.0,5.0
20190114T1100,5.681655,20.037485,287.78387,61.0,0.0,42.0
20190114T1200,6.0616546,19.137648,286.38956,57.0,57.0,69.0
20190114T1300,6.4216547,25.952478,293.7204,63.0,93.0,95.0
20190114T1400,6.3916545,24.633049,296.93954,82.0,105.0,92.0
20190114T1500,6.3916545,21.659916,291.44775,73.0,125.0,77.0
20190114T1600,5.9016547,20.60823,289.38452,76.0,88.0,76.0
20190114T1700,5.761655,19.66536,293.7495,52.0,41.0,52.0
20190114T1800,5.1316547,18.581022,305.5377,54.0,10.0,14.0
20190114T1900,4.2916546,16.039202,315.9094,36.0,0.0,0.0
20190114T2000,3.9116547,13.513193,311.7603,33.0,0.0,0.0
20190114T2100,3.4816546,11.885453,305.13422,8.0,0.0,0.0
20190114T2200,2.8916547,9.387651,302.4712,18.0,0.0,0.0
20190114T2300,2.6716547,8.225035,293.1986,35.0,0.0,0.0
20190115T0000,1.8316548,6.5693827,279.46234,36.0,0.0,0.0
20190115T0100,2.0216548,6.924738,261.02737,52.0,0.0,0.0
20190115T0200,1.9616548,7.42159,255.96376,88.0,0.0,0.0
20190115T0300,1.9316548,6.489992,250.55997,83.0,0.0,0.0
20190115T0400,1.5416548,7.24486,243.43495,95.0,0.0,0.0
20190115T0500,1.7016548,7.4128532,240.9454,93.0,0.0,0.0
20190115T0600,1.4516548,8.587338,236.97614,94.0,0.0,0.0
20190115T0700,2.1816547,10.00256,239.74356,99.0,0.0,0.0
20190115T0800,2.7016547,10.00256,239.74356,95.0,0.0,0.0
20190115T0900,2.9716547,10.00256,239.74356,68.0,0.0,0.0
20190115T1000,3.5016546,10.383987,236.30994,43.0,1.0,5.0
20190115T1100,4.0216546,11.592894,233.84181,49.0,9.0,40.0
20190115T1200,4.931655,12.303366,249.44395,40.0,57.0,75.0
20190115T1300,5.531655,14.24163,249.27444,76.0,87.0,95.0
20190115T1400,6.1716547,19.602652,262.61395,44.0,120.0,104.0
20190115T1500,6.2916546,21.602999,269.04517,75.0,141.0,84.0
20190115T1600,6.201655,16.981165,265.1355,82.0,58.0,92.0
20190115T1700,5.931655,14.145756,255.25644,51.0,30.0,54.0
20190115T1800,5.3516545,13.854155,245.43283,52.0,12.0,18.0
